"project_id","title","description","branch","project_type","technologies","difficulty","duration","cost","availability","capacity","image","created_at","updated_at"
"proj-ece-01","Automatic Street Light System","An energy-efficient smart street lighting solution using LDR sensors and microcontrollers.","ECE / EC","Minor","Arduino, LDR Sensor, Relay Module, Embedded C","Beginner","3–4 weeks",3400,"Available",20,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-02","Obstacle Avoiding Robot","Autonomous mobile robot equipped with ultrasonic sensors navigating complex indoor environments.","ECE / EC","Minor","Arduino Uno, Ultrasonic HC-SR04, L298N Driver, Robotics","Intermediate","4–5 weeks",3900,"Available",15,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-03","Line Following Robot","Automated guided vehicle (AGV) using infrared array sensors to trace specific paths.","ECE / EC","Minor","IR Sensors, Arduino Nano, DC Gear Motors, PWM Speed Control","Beginner","3–4 weeks",3300,"Available",25,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-04","RFID Door Lock System","Secure contactless access control mechanism with microcontroller processing and solenoid latch.","ECE / EC","Minor","RC522 RFID, Arduino, 16x2 LCD Display, Solenoid Lock","Intermediate","4–5 weeks",3800,"Available",18,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-05","Smart Dustbin System","Touchless waste management unit featuring automated lid opening via ultrasonic proximity detection.","ECE / EC","Minor","Servo Motor, Ultrasonic Sensor, ATmega328P, Hardware Enclosure","Beginner","2–3 weeks",2900,"Available",30,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-06","Temperature & Humidity Monitoring","IoT environmental telemetry node transmitting ambient room conditions to a cloud dashboard.","ECE / EC","Minor","DHT11/DHT22, ESP8266 Wi-Fi, Blynk Cloud API, C++","Intermediate","3–4 weeks",3500,"Available",22,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-07","Solar EV Car Prototype","Clean energy electric vehicle prototype with PV panels, MPPT charge controller, and lithium battery.","ECE / EC","Major","Solar PV Array, BLDC Motor Driver, LiFePO4 BMS, Power Electronics","Advanced","8–10 weeks",4500,"Available",10,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-08","Dual-Axis Solar Tracking System","Active light-tracking solar panel mount maximizing energy yield using dual-axis servo positioning.","ECE / EC","Major","Dual Servo Actuators, LDR Bridge, Solar Inverter Logic, Arduino","Intermediate","6–8 weeks",3400,"Available",12,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-09","Wireless Digital Notice Board","Remote message display system enabling instant campus announcements via Bluetooth or GSM SMS.","ECE / EC","Major","GSM SIM800L, P10 LED Matrix, Microcontroller, Serial Protocol","Intermediate","5–6 weeks",3600,"Available",15,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-10","Smart Irrigation System","Precision agricultural system evaluating soil moisture and weather parameters to trigger water pumps.","ECE / EC","Major","Soil Moisture Sensor, ESP32 Wi-Fi/BT, Submersible Pump, IoT Dashboard","Intermediate","6–8 weeks",3800,"Available",15,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-ece-11","Solar Tree Power Generator","Biomimetic solar power structure arranging mini solar panels in tree-branch pattern.","ECE / EC","Major","Solar Micro-Panels, Charge Regulation, USB Output Hub, CAD Design","Intermediate","6–8 weeks",3300,"Available",14,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-cse-01","AI Resume & ATS Screening System","NLP platform analyzing candidate resumes against job descriptions, outputting match scores.","CSE / IT","Major","Python, FastAPI, spaCy NLP, React, Tailwind CSS","Advanced","8–10 weeks",4200,"Available",15,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-cse-02","Campus Food Delivery & Order Portal","Real-time food ordering and tracking web application for college canteens.","CSE / IT","Minor","Node.js, Express, React, MongoDB, Socket.io","Intermediate","4–6 weeks",3100,"Available",20,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-eee-01","Smart Energy Metering Monitor","Digital power analyzer measuring RMS voltage, current, active power with GSM alerts.","Electrical / EEE","Major","Current Transformer CT, Voltage Sensor, PIC Microcontroller, GSM Module","Advanced","6–8 weeks",4100,"Available",12,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-mech-01","Pneumatic Bending Machine","Compact semi-automated pneumatic press for precise V-bending of light gauge sheet metal.","Mechanical","Major","Pneumatic Actuators, Solenoid Valves, CAD SolidWorks, Structural Steel","Intermediate","6–8 weeks",4600,"Available",10,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
"proj-civil-01","Eco-Bricks from Plastic Waste","Sustainable construction material development using processed PET plastic waste and fly ash.","Civil","Minor","Material Testing, Compressive Strength UTM, Waste Recycling, Mix Design","Beginner","4–5 weeks",2800,"Available",20,"","2026-01-15T00:00:00Z","2026-01-15T00:00:00Z"
